Year,Region,disasterType,len
1981,Eastern Asia,Wildfire,3
1981,Polynesia,Storm,1
1981,South America,Landslide,3
1981,Eastern Europe,Extreme temperature ,1
1981,Caribbean,Drought,2
1981,Eastern Africa,Flood,4
1981,Northern Europe,Storm,2
1981,Caribbean,Flood,1
1981,Northern Africa,Drought,1
1981,Northern Africa,Flood,1
1981,Southern Europe,Drought,1
1981,Eastern Africa,Epidemic,1
1981,Melanesia,Storm,6
1981,Western Europe,Flood,1
1981,Western Africa,Flood,1
1982,Western Europe,Drought,1
1982,Southern Asia,Earthquake,1
1982,Southern Europe,Earthquake,3
1982,South America,Flood,8
1982,Australia and New Zealand,Storm,3
1982,Western Europe,Flood,1
1982,Western Europe,Landslide,3
1982,Western Europe,Storm,4
1982,Western Africa,Flood,1
1982,Southern Asia,Epidemic,3
1982,Southern Asia,Drought,3
1982,Southern Asia,Flood,7
1982,South America,Storm,1
1982,Northern America,Extreme temperature ,1
1982,Eastern Asia,Earthquake,2
1982,Eastern Asia,Flood,7
1982,Eastern Asia,Landslide,3
1982,South America,Landslide,2
1982,Western Africa,Storm,1
1982,Eastern Europe,Extreme temperature ,1
1982,Caribbean,Storm,1
1982,Northern Africa,Flood,2
1982,Southern Europe,Flood,2
1982,Western Europe,Wildfire,1
1982,Central America,Flood,4
1983,Middle Africa,Drought,4
1983,Central America,Earthquake,2
1983,Eastern Europe,Drought,2
1983,Southern Asia,Earthquake,4
1983,Caribbean,Storm,2
1983,Caribbean,Flood,2
1983,South America,Flood,7
1983,Caribbean,Drought,1
1983,Australia and New Zealand,Wildfire,1
1983,Australia and New Zealand,Storm,3
1983,Western Europe,Flood,7
1983,Western Europe,Earthquake,1
1983,Western Africa,Epidemic,1
1983,Southern Asia,Storm,9
1983,Southern Asia,Epidemic,1
1983,Southern Asia,Flood,11
1983,South America,Drought,5
1983,South America,Landslide,4
1983,Northern America,Flood,3
1983,Western Europe,Storm,4
1983,South America,Earthquake,3
1983,Eastern Asia,Storm,10
1983,Eastern Asia,Earthquake,3
1983,Eastern Asia,Other,1
1983,Eastern Asia,Flood,2
1983,Eastern Asia,Drought,2
1983,South America,Storm,1
1983,South America,Other,1
1983,Eastern Africa,Storm,3
1983,Western Asia,Storm,1
1983,Western Europe,Wildfire,2
1983,Eastern Africa,Drought,5
1983,Northern Europe,Storm,3
