Year,Region,disasterType,len
1985,Western Europe,Wildfire,1
1985,Northern Europe,Epidemic,1
1985,Western Africa,Wildfire,1
1985,Central America,Earthquake,1
1986,South America,Storm,1
1986,South America,Flood,1
1986,Australia and New Zealand,Storm,1
1986,Australia and New Zealand,Flood,1
1986,Western Africa,Other,1
1986,Southern Asia,Storm,1
1986,Southern Asia,Flood,1
1986,Southern Asia,Epidemic,1
1986,Eastern Europe,Earthquake,1
1986,Northern America,Storm,1
1986,South America,Earthquake,1
1986,South America,Epidemic,1
1986,Southern Africa,Other,1
1986,Northern America,Flood,1
1986,Northern America,Wildfire,1
1986,Western Europe,Storm,1
1986,Eastern Asia,Storm,1
1986,Eastern Asia,Earthquake,1
1986,Eastern Asia,Extreme temperature ,1
1986,Eastern Asia,Flood,1
1986,Middle Africa,Other,2
1986,South America,Landslide,1
1986,Caribbean,Drought,1
1986,Caribbean,Flood,1
1986,Caribbean,Storm,1
1986,Eastern Africa,Other,1
1986,Melanesia,Storm,1
1986,Melanesia,Flood,1
1986,Western Europe,Wildfire,1
1986,Northern Europe,Storm,1
1986,Southern Europe,Earthquake,1
1986,Central America,Earthquake,1
1987,South America,Earthquake,1
1987,Eastern Europe,Flood,1
1987,Southern Asia,Landslide,1
1987,Middle Africa,Epidemic,1
1987,South America,Wildfire,1
1987,South America,Flood,1
1987,South America,Storm,1
1987,Western Europe,Flood,1
1987,Western Africa,Epidemic,1
1987,Western Africa,Other,1
1987,Southern Asia,Flood,1
1987,Southern Asia,Storm,1
1987,Southern Asia,Epidemic,1
1987,Northern America,Storm,1
1987,South America,Drought,1
1987,Caribbean,Storm,1
1987,Northern America,Flood,1
1987,Western Europe,Storm,1
1987,South America,Landslide,1
1987,Eastern Asia,Storm,1
1987,Eastern Asia,Earthquake,1
1987,Eastern Asia,Flood,1
1987,Eastern Asia,Landslide,1
1987,Eastern Asia,Wildfire,1
1987,Eastern Asia,Epidemic,1
1987,Middle Africa,Other,1
1987,Polynesia,Storm,1
1987,Eastern Africa,Storm,1
1987,Eastern Europe,Storm,1
1987,Caribbean,Wildfire,1
1987,Northern Africa,Earthquake,1
1987,Northern Africa,Other,1
1987,Northern Africa,Storm,1
1987,Southern Europe,Storm,1
1987,Southern Europe,Flood,1
1987,Eastern Africa,Other,1
1987,Eastern Africa,Drought,1
1987,Melanesia,Storm,1
1987,Micronesia,Storm,1
1987,Northern Europe,Storm,1
1987,Western Africa,Storm,1
1987,Southern Europe,Extreme temperature ,1
1987,Southern Europe,Wildfire,1
1987,Central America,Other,1
1987,Central America,Wildfire,1
1987,Central America,Drought,1
1987,Central America,Flood,1
1987,Eastern Asia,Extreme temperature ,1
1988,Caribbean,Flood,1
1988,Southern Europe,Earthquake,1
1988,Central America,Earthquake,1
1988,Southern Asia,Flood,1
1988,South America,Flood,1
1988,Western Africa,Flood,1
1988,Southern Asia,Earthquake,1
1988,Southern Asia,Storm,1
1988,South America,Extreme temperature ,1
1988,Southern Africa,Flood,1
1988,Southern Africa,Epidemic,1
1988,South America,Other,1
1988,Eastern Asia,Earthquake,1
1988,Eastern Asia,Flood,1
1988,Eastern Asia,Landslide,1
1988,Eastern Asia,Storm,1
1988,Eastern Asia,Epidemic,1
1988,Middle Africa,Flood,1
1988,Middle Africa,Epidemic,1
1988,South America,Storm,1
1988,Western Africa,Other,1
1988,Central America,Flood,1
1988,Central America,Storm,1
1988,Caribbean,Storm,1
1988,Western Europe,Flood,1
1988,Northern Africa,Earthquake,1
1988,Northern Africa,Other,2
1988,Northern Africa,Storm,1
1988,Eastern Africa,Flood,1
1988,Eastern Africa,Epidemic,1
1988,Eastern Africa,Other,1
1988,Western Africa,Epidemic,1
1988,Southern Europe,Extreme temperature ,1
1978,South-Eastern Asia,Drought,1
1978,Southern Asia,Landslide,1
1978,Southern Asia,Earthquake,1
1978,Eastern Africa,Storm,1
1978,Central America,Earthquake,1
1978,Central America,Drought,1
1978,Western Africa,Drought,1
1978,South-Eastern Asia,Landslide,1
1979,South-Eastern Asia,Earthquake,1
1979,Eastern Africa,Drought,1
1979,South-Eastern Asia,Other,1
1979,South-Eastern Asia,Landslide,1
1979,South-Eastern Asia,Flood,1
1979,Southern Asia,Landslide,1
1979,Southern Asia,Extreme temperature ,1
1979,Southern Asia,Epidemic,1
1979,Southern Asia,Flood,1
1979,Southern Asia,Earthquake,1
1979,Southern Europe,Other,1
1979,Eastern Asia,Flood,1
1979,South-Eastern Asia,Wildfire,1
1979,Eastern Africa,Storm,1
